ReportId,RepCode,Name - Native,Name - English,Dir,PPA_Cutoff,Top_Cutoff,Type,Restrictions?,Region,SubRegionID,Country,NewCode,Keywords,Name_Native_Letter,Name_Native_Companies,Name_Native_Industry,Name_Native_Descriptive,Sect_Primary,Sect_Secondary,UK_Assoc1 to 20,PW_Assoc1 to 20,FR_Assoc1 to 20,IT_Assoc1 to 20,SP_Assoc1 to 20,NO_Assoc1 to 20,GE_Assoc1 to 20,RU_Assoc1 to 20,MultiCountry,Date_Last_Edited,Marketing_Description_Native,Marketing_Description_English,Report_Definition_Native,Report_Definition_English,Top3_1,Top3_2,Top3_3,Top20_1,Top20_2,Top20_3,Top20_4,Top20_5,Top20_6,Top20_7,Top20_8,Top20_9,Top20_10,Top20_11,Top20_12,Top20_13,Top20_14,Top20_15,Top20_16,Top20_17,Top20_18,Top20_19,Top20_20,AT_Assoc1 to 20
29940,EXRS,,Extended Reality (XR) Development,G:\EXTREALT\,1000,0,Normal,True,3,2,,PWINFSOM72A,Virtual reality (VR); Mixed Reality (MR); Augmented reality (AR); Extended reality (XR); computer-generated simulation; immersive simulations; vr;ar;virtual;reality;augmented;software;video;game;film;studio;artificial intelligence; developer;console;playstation;xbox;sony; microsoft,,Extended Reality (XR) Development Companies,Extended Reality (XR) Development Industry,,Info,Soft,,,,,,,,,,01/10/2025 11:59:25,,,,The report includes companies in the process of; designing; building; and delivering software applications and digital content that leverage immersive technologies such as Virtual Reality (VR); Augmented Reality (AR); and Mixed Reality (MR). Companies engaged in this field focus on creating interactive experiences; tools; and platforms that integrate real and virtual environments; enabling enhanced visualization; simulation; training; entertainment; and other immersive solutions.,,,,,,,,,,,,,,,,,,,,,,,,,
22334,ALHE,,Abnormal Load Haulage,G:\ABNORMEU\,1000,0,Normal,False,3,2,,PWTRARRN35B,Wind turbine transportation; plant machinery transportation; construction and engineering haulage; airplane fusilages and rear wings of airplanes transportation; pilot cars and train transportation,,Abnormal Load Hauliers,Abnormal Load Haulage Industry,,Tran,Road,,,,,,,,,,24/10/2018 00:00:00,,Companies involved in heavy haulage and abnormal load transportation,,Wind turbine transportation; plant machinery transportation; construction and engineering haulage; airplane fusilages and rear wings of airplanes transportation; pilot cars and train transportation,,,,,,,,,,,,,,,,,,,,,,,,,
3968,IN89W,Abrasive Products,Abrasive Products,G:\ABPRGLOB\,1000,,Normal,False,3,1,,PWCHECHM1A,abrasive;abrasive;product;manufacture;grinding;polishing;buffing;honing;cutting;drilling;sharpening;lapping;sanding,,Abrasive Product Manufacturers,Abrasive Product Manufacturing Industry,,Chem,Chem,,,,,,,,,,03/08/2017 09:53:20,,Companies involved in manufacturing bonded and coated abrasives,,abrasive chemicals; polishing; abrasive grinding wheels; abrasive-coated materials; sandpaper;,3973,10421,,3969,10268,10388,10465,16563,4793,,,,,,,,,,,,,,,,
3969,IN89E,,Abrasive Products,G:\ABPREURO\,1000,,Normal,False,3,2,,PWCHECHM1B,abrasive;abrasive;product;manufacture;grinding;polishing;buffing;honing;cutting;drilling;sharpening;lapping;sanding,,Abrasive Product Manufacturers,Abrasive Product Manufacturing Industry,,Chem,Chem,,IN89W;CHEM,,,,,,,,13/09/2016 00:00:00,,Companies involved in the manufacture of abrasive; grinding and polishing products; tools and materials,,bonded abrasive; coated abrasive; super abrasives; flex wheel; cut off wheel; diamond tools; abrasive grain; abrasive materials; abrasive powder; abrasive paper; abrasive pads; abrasive sheets; abrasive rolls;,,,,3968,10268,4793,,,,,,,,,,,,,,,,,,,
23350,STM1,,Academic Publishers,G:\ACADEMIC\,1000,0,Normal,False,3,1,,PWPRIPGM56A,STM Publishers; Scholary Publishers; medical journals,,Academic Publishers,Academic Publishing Industry,,Prin,Publ,,,,,,,,,,11/10/2019 12:33:37,,Companies involved in academic; professional and scholary publishing,,STM Publishers; Scholary Publishers; medical journals,,,,,,,,,,,,,,,,,,,,,,,,,
18035,ACSTW,,Acoustics; Sound & Vibration,G:\ACOUSTIC\,1000,,Normal,False,3,1,,PWENGMAM2A,acoustics; mechanical vibration;noise;bioacoustics; noise control engineering; Acoustic Insulation Products; noise control;vibration,,Acoustics and Sound Companies,Acoustics and Sound Industry,,Engi,Serv,,,,,,,,,,02/08/2017 09:36:18,,Companies involved in acoustics and nosie control engineering,,acoustics; mechanical vibration and shock; bioacoustics; noise control engineering; Acoustic Insulation Products; sound; acoustic; anti vibration solutions; noise damping,,,,22010,4796,22172,,,,,,,,,,,,,,,,,,,
10200,ACTU,,Actuators,G:\ACTUGLOB\,1000,,Normal,False,3,1,,PWMETSPM1A,valves;actuators;industrial;HVAC;electronic;air;conditioning;ventilation,,Actuator Manufacturers,Actuator Manufacturing Industry,,Engi,ElEl,,,,,,,,,,02/08/2017 21:39:46,,Companies involved in the design and manufacture of actuators,,An actuator is a device that enables a machine to operate by converting energy (electrical; hydraulic; or pneumatic) into motion. It requires a control device to provide a low-energy signal (voltage; current; fluid pressure; or human power) and a source of energy. In electric; hydraulic; and pneumatic systems; actuators facilitate automation and precise control. This report covers manufacturing companies only who may produce actuators as a primary activity or alongside other products.,10397,,,10389,10421,1139,10534,10497,11599,10395,4240,9520,5915,,,,,,,,,,,,
22207,ACTUE,,Actuators,G:\ACTUATEU\,1000,0,Normal,False,3,2,,PWMETSPM35A,,,Actuator Manufacturers,Actuator Manufacturing Industry,,Meta,Supp,,,,,,,,,,27/06/2018 00:00:00,,Companies involved in the design and manufacture of actuators,,An actuator is a device that enables a machine to operate by converting energy (electrical; hydraulic; or pneumatic) into motion. It requires a control device to provide a low-energy signal (voltage; current; fluid pressure; or human power) and a source of energy. In electric; hydraulic; and pneumatic systems; actuators facilitate automation and precise control. This report covers manufacturing companies only who may produce actuators as a primary activity or alongside other products.,,,,,,,,,,,,,,,,,,,,,,,,,
16568,ADHS,,Adhesive Manufacturers,G:\ADHESIVE\,1000,,Normal,False,3,1,,PWCHECHM2A,,,Adhesive Manufacturers,Adhesive Manufacturers Industry,,Chem,Prod,,,,,,,,,,20/09/2016 00:00:00,,Companies involved in the manufacture of adhesives and sealants,,includes hot melt adhesives; glues; industrial adhesives; spray adhesives; water based adhesives; tile adhesives; wood bond adhesives; floor adhesives,9356,13708,4797,10269,4064,10268,18460,18469,58,4361,5916,16568,64,4928,5988,14763,9899,18408,18435,10362,10396,10294,16560,,
22720,ADHSE,,Adhesive Manufacturers,G:\ADHESIEU\,1000,0,Normal,False,3,2,,PWCHECHM76A,hot melt adhesives; glues; industrial adhesives; spray adhesives; water based adhesives; tile adhesives; wood bond adhesives; floor adhesives,,Adhesive Manufacturers,Adhesive Manufacturing Industry,,Chem,Mana,,,,,,,,,,01/03/2019 00:00:00,,Companies involved in the manufacture of adhesives and sealants,,includes hot melt adhesives; glues; industrial adhesives; spray adhesives; water based adhesives; tile adhesives; wood bond adhesives; floor adhesives,,,,,,,,,,,,,,,,,,,,,,,,,
14286,ADLT,,Adult Toy Manufacturers,G:\ADULTTOY\,1000,,Normal,False,3,1,,PWLEIEQM1A,,,Adult Toy Manufacturers,Adult Toy Manufacturers,,Leis,Prod,,,,,,,,,,01/08/2017 00:00:00,,Companies involved in the manufacturing and selling of adult toys,,A sex toy is an object or device that is primarily used to facilitate human sexual pleasure; such as a dildo or vibrator. Many popular sex toys are designed to resemble human genitals and may be vibrating or non-vibrating. The term sex toy can also include BDSM apparatus and sex furniture such as slings; however; it is not applied to items such as birth control; pornography; or condoms. Alternative expressions include adult toy and the dated euphemism marital aid; although &quot;marital aid&quot; has a broader sense,,,,,,,,,,,,,,,,,,,,,,,,,
18198,ADVN,,Adventure Travel,G:\ADVNTRAV\,5000,,Normal,False,3,1,,PWHOSTRN49A,,,Adventure Travel Companies,Adventure Travel Industry,,Leis,Trav,,,,,,,,,,02/08/2017 09:44:04,,Companies involved in activity and adventure holidays,,skiing; walking; rock climbing; lifetime holidays; educational travel; sports travel; dream cycling; rafting; extreme adventures; adventure travel; adventure tourism;,,,,992,11194,6277,10143,13817,5510,,,,,,,,,,,,,,,,
22208,ADVNE,,Adventure Travel,G:\ADVENTEU\,1000,0,Normal,False,3,2,,PWHOSTRN49B,skiing; walking; rock climbing; lifetime holidays; educational travel; sports travel; dream cycling; rafting; extreme adventures; adventure travel; adventure tourism;,,Adventure Travel Companies,Adventure Travel Industry,,Leis,Trav,,,,,,,,,,27/06/2018 00:00:00,,Companies involved in activity and adventure holidays,,skiing; walking; rock climbing; lifetime holidays; educational travel; sports travel; dream cycling; rafting; extreme adventures; adventure travel; adventure tourism;,,,,5510,,,,,,,,,,,,,,,,,,,,,
10201,ADEU,,Advertising Agents,G:\ADAGEURO\,1000,,Normal,True,3,2,,PWMEDCMM1B,Advertising;Agencies;Advertising;Agents;Ad;agency;Ad;Agencies;Ad;Agencies;Agencies;Advertizing;Agents;Advertise;Advert;Advertising;agency;media;communications;planning;marketing;direct;research;advertize;advertising;research;promotion;branding;Advertizing;Agencies;Advertising;Agents;Advertising;advertising;Advertising;Agents;  ,,Advertising Agents,Advertising Agents Industry,,Medi,Agen,,ADGL;MARK,,,,,,,,19/06/2015 00:00:00,,,,,,,,10202,10426,5233,4798,14515,1072,1064,19732,5917,9862,9863,4799,13608,,,,,,,,,
10202,ADGL,,Advertising Agents,G:\ADAGGLOB\,2000,,Normal,True,3,1,,PWMEDCMM1A,Advertising;Agencies;Advertising;Agents;Ad;agency;Ad;Agencies;Ad;Agencies;Agencies;Advertizing;Agents;Advertise;Advert;Advertising;agency;media;communications;planning;marketing;direct;research;advertize;advertising;research;promotion;branding;Advertizing;Agencies;Advertising;Agents;Advertising;advertising;Advertising;Agents;  ,,Advertising Agents,Advertising Agents Industry,,Medi,Agen,,,,,,,,,,02/08/2017 09:30:36,,,,outdoor digital media,,,,10201,10426,1076,1054,10543,14748,11224,5917,9862,9863,4799,,,,,,,,,,,
3973,AR09T,,Aeronautical System Manufacturers,G:\ASYSGLOB\,1000,,Normal,True,3,1,,PWENGMAM3A,Aeronautical;Systems;aerospace;defence;aerospace;space;research,,Aeronautical System Manufacturers,Aeronautical System Manufacturing Industry,,Aero,Air,,ADEF;PS15W,,,,,,,,01/08/2011 00:00:00,,,,remotely piloted aircraft; radar; mission systems solutions; ground control stations; aircraft sensors; on-board equipment and systems,10203,18415,13582,10213,456,4810,5921,16834,3973,455,9920,459,10370,11628,10395,10231,10237,14312,10394,10286,4395,10558,4845,,
19800,ADEFE,,Aerospace & Defence,G:\AEROSPAE\,1000,0,Normal,False,3,2,,PWENGMAM87A,,,Aerospace & Defence Companies,Aerospace & Defence Industry,,Aero,Aero,,,,,,,,,,03/02/2018 00:00:00,,Companies involved in the production and supply of Aerospace and Defence related items,,Aerospace and Defence is an inclusive term encompassing air defense; ballistic missile defense; and space defense. All defensive measures designed to destroy or nullify attacking enemy aircraft and missiles and also negate hostile space systems.,,,,4845,4811,,,,,,,,,,,,,,,,,,,,
10203,ADEF,,Aerospace & Defence,G:\AERODEFE\,1000,,Normal,False,3,1,,PWELESUM20A,plane;aeroplane;planes;flight;air;aeroplanes;aerospace;space;helecopter;defence;military;aero;aero-space;aircraft;engines;aeronautical;missiles;aeronautics;airplane;spacecraft;aviation;aeronautic,,Aerospace & Defence Companies,Aerospace & Defence Industry,,Aero,Defe,,,,,,,,,,04/02/2016 00:00:00,,Companies involved in the production and supply of Aerospace and Defence related items.,,Aerospace and Defence is an inclusive term encompassing air defense; ballistic missile defense; and space defense. All defensive measures designed to destroy or nullify attacking enemy aircraft and missiles and also negate hostile space systems.,4395,,,3973,12660,4846,14628,456,541,9920,14297,14312,10286,10816,4845,,,,,,,,,,
10204,FAPR,,Agribusiness,G:\FARMPROD\,1000,,Normal,True,3,1,,PWAGRAPM38A,dairy;farm;milk;egg;eggs;butter;cream;field;sheep;cow;produce;fresh;produce;cattle;cheese;yoghurt;ice;cream;custard;lactose;feed;nutrition;hay;oilseeds;corn;wheat;cocoa;feedstuffs;vegetable;oil;protein;meal;corn;sweeteners;flour;biodiesel;ethanol;feed;ingredients;agrichemicals; breeding; crop production; farm machinery; seed supply; farming;,,Agribusiness Companies,Agribusiness Industry,,Agri,Agri,,,,,,,,,,01/08/2017 10:27:20,,Companies involved in agricultural production,,Agribusiness is the business of agricultural production. It includes agrichemicals; breeding; crop production (farming and contract farming); distribution; farm machinery; processing; and seed supply; as well as marketing and retail sales.,19564,9725,,1,4,16781,18400,18427,18475,19579,10517,16727,4348,16780,14,19585,9843,11180,16239,13769,,,,,
19797,FAPRE,,Agribusiness,G:\AGRIBUSE\,1000,0,Normal,False,3,2,,PWAGRAPM59A,agrichemicals; breeding; crop production; farm machinery; seed supply; farming;,,Agribusiness Companies,Agribusiness Industry,,Agri,Farm,,,,,,,,,,02/01/2018 00:00:00,,Companies involved in agricultural production,,Agribusiness is the business of agricultural production. It includes agrichemicals; breeding; crop production (farming and contract farming); distribution; farm machinery; processing; and seed supply; as well as marketing and retail sales.,,,,,,,,,,,,,,,,,,,,,,,,,
29847,LR24,,Agri-Chemical Manufacturers (RS),G:\LR24ACRS\,40,0,Normal,False,3,2,206,PWCHECHM83A,Crop protection ; Fertilizer; pesticides,,Agricultural Chemical Manufacturers,Agricultural Chemical Manufacturing Industry,,Chem,Chem,,,,,,,,,,31/07/2025 00:00:00,,Companies involved in manufacturing chemical products used in agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205,AGCE,,Agricultural Chemical Manufacturers,G:\AGRICHEM\,1000,,Normal,False,3,1,,PWCHECHN13A,Chemical;chemicals;preparations;inorganic;organic;fertilizer;petro;chemical;coating;resins;synthetic;resin;industrial;soap;perfums;cosmetic;toilet;cleaning;agri;chemical;materials;beauty;plastics;crop;crops; ,,Agricultural Chemical Companies,Agricultural Chemical Industry,,Agri,Chem,,,,,,,,,,18/12/2015 00:00:00,,Companies involved in manufacturing chemical products used in agriculture,,Agrochemical includes pesticides; insecticides; herbicides; fungicides; nematicides,,,,10204,10268,4801,5922,4801,,,,,,,,,,,,,,,,,
22277,AGCEU,,Agricultural Chemical Manufacturers,G:\AGRICHEU\,1000,0,Normal,False,3,2,,PWCHECHM75A,Crop protection,,Agricultural Chemical Manufacturers,Agricultural Chemical Manufacturing Industry,,Chem,Chem,,,,,,,,,,23/08/2018 00:00:00,,Companies involved in manufacturing chemical products used in agriculture,,Agrochemical includes pesticides; insecticides; herbicides; fungicides; nematicides,,,,,,,,,,,,,,,,,,,,,,,,,
