ReportId,RepCode,Name - Native,Name - English,Dir,PPA_Cutoff,Top_Cutoff,Type,Restrictions?,Region,SubRegionID,Country,NewCode,Keywords,Name_Native_Letter,Name_Native_Companies,Name_Native_Industry,Name_Native_Descriptive,Sect_Primary,Sect_Secondary,UK_Assoc1 to 20,PW_Assoc1 to 20,FR_Assoc1 to 20,IT_Assoc1 to 20,SP_Assoc1 to 20,NO_Assoc1 to 20,GE_Assoc1 to 20,RU_Assoc1 to 20,MultiCountry,Date_Last_Edited,Marketing_Description_Native,Marketing_Description_English,Report_Definition_Native,Report_Definition_English,Top3_1,Top3_2,Top3_3,Top20_1,Top20_2,Top20_3,Top20_4,Top20_5,Top20_6,Top20_7,Top20_8,Top20_9,Top20_10,Top20_11,Top20_12,Top20_13,Top20_14,Top20_15,Top20_16,Top20_17,Top20_18,Top20_19,Top20_20,AT_Assoc1 to 20
6144,SPFI63,MATADEROS Y SALAS DE DESPIECE,ABATTOIRS,H:\carnprcg\,3000,100,Normal,True,4,,133,SPFOOMEM46A,carne; cordero; cerdo; carne; pollo; comida; alimentación; despiece; sacrificio; matador; matarife; ganado; aves de corral; sala de despiece; matadero frigorífico,Mataderos y salas de despiece,de los mataderos y las salas de despiece,,,Aero,Acco,,,,,,,,,,11/10/2015 00:00:00,Las empresas analizadas en el informe operan mataderos y/o salas de despiece.,The companies analysed in the report operate abattoirs and butchering rooms.,Empresas gestoras de mataderos y salas de despiece.,Companies operating abattoirs and butchering rooms.,6145,6020,14160,1222,4278,4893,9548,19499,19835,23309,18276,9612,16795,19839,19840,4792,5235,11201,19807,19836,5934,6134,6252,,
13969,SPABOR,CLÍNICAS DE INTERRUPCIÓN VOLUNTARIA DEL EMBARAZO,ABORTION CLINICS,H:\abortion\,3000,100,Normal,True,4,,133,SPHEACSM56B,embarazo; embarazada; aborto; interrupción del embarazo; clínica abortista; interrupción voluntaria del embarazo; ive; ginecología; obstetricia,Clínicas de interrupción voluntaria del embarazo,de las clínicas de interrupción voluntaria del embarazo,,,Aero,Acco,,,,,,,,,,11/01/2015 00:00:00,Las empresas analizadas en el informe gestionan clínicas acreditadas para la interrupción voluntaria del embarazo.,The companies analysed in the report manage accredited abortion clinics.,Clínicas acreditadas para la interrupción voluntaria del embarazo.,Companies operating as abortion clinics.,14058,23198,24670,1210,16959,9509,9990,13670,,,,,,,,,,,,,,,,,
5912,SPCI09,PRODUCTOS ABRASIVOS,ABRASIVE PRODUCTS,H:\abrasiv\,3000,75,Normal,True,4,,133,SPCHECHM1A,abrasivo; productos abrasivos; fabricantes productos abrasivos; venta productos abrasivos; lijas; lijados; ruedas abrasivas; cepillos; abrasivos industriales,Productos abrasivos,de los productos abrasivos,,,Aero,Acco,,,,,,,,,,11/01/2015 00:00:00,Las empresas analizadas en el informe se dedican a la fabricación; transformación y distribución de productos abrasivos.,The companies analysed in the report are involved in the manufacture; processing and distribution of abrasive products.,El informe abarca fabricantes; importadores y proveedores de productos abrasivos; incluyendo tanto variedades sintéticas como naturales. Estos productos incluyen pastas abrasivas; muelas y piedras abrasivas; discos abrasivos y herramientas diamantadas. Se utilizan en una amplia gama de aplicaciones; como corte; perfilado; biselado; pulido; escuadrado; desbarbado; rectificado; afilado; bruñido y acabado de superficies. No incluir minoristas ni empresas generales de ferretería/maquinaria con una línea limitada de abrasivos.,The report covers manufacturers; importers; and suppliers of abrasive products; encompassing both synthetic and natural varieties. These products include abrasive pastes; grinding wheels and stones; abrasive discs; and diamond tools. They serve a diverse range of applications; such as cutting; profiling; mitering; polishing; squaring; deburring; grinding; sharpening; honing; and surface finishing. Do not include retailers or general hardware/machinery companies with a small line of abrasives.,3969,14017,14102,16177,14193,5988,3968,9355,54,4793,13576,6298,5998,,,,,,,,,,,,
13972,SPACCE,CONTROL DE ACCESO,ACCESS CONTROL,H:\accontr\,3000,100,Normal,True,4,,133,SPSERSYN45C,control de accesos; control accesos,Control de acceso,del control de acceso,,,Aero,Acco,,,,,,,,,,08/09/2015 00:00:00,,,empresas que ofrecen soluciones de control de accesos,companies providing access control solutions,,,,6130,1398,,,,,,,,,,,,,,,,,,,,
22172,SPACST,INGENIERÍA ACÚSTICA,ACOUSTIC CONSULTANTS,H:\ingacus\,1000,100,Normal,True,4,,,SPELESUM1A,ensayos acústicos; consultoría acústica; acustical ambiental; consultores acústicos; mediciones acústicas; control del ruido; estudios acusticos; ingeniería acústica; estudios acústicos; consultoria acustica; acustical industrial; acústica ambiental; acústica arquitectonica; acústica medioambiental; insonorización; consultores acusticos; ingenieria acustica; insonorizacion; acústica industrial; ensayos acusticos; mediciones acusticas,Ingeniería acústica,de la ingeniería acústica,,,Engi,Buil,,,,,,,,,,22/05/2018 00:00:00,Las empresas analizadas en el informe prestan servicios de consultoría e ingeniería acústica.,The companies analysed in the report provide acoustic engineering and consultancy services.,,Acoustical engineering (also known as acoustic engineering) is the branch of engineering dealing with sound and vibration. It is the application of acoustics; the science of sound and vibration; in technology. Acoustical engineers are typically concerned with the design; analysis and control of sound.,6213,5936,6110,22010,607,6101,6008,14042,18035,6009,15123,,,,,,,,,,,,,,
14131,SPAHMS,FABRICACIÓN DE PRINCIPIOS ACTIVOS FARMACÉUTICOS,ACTIVE PHARMACEUTICAL INGREDIENT MANUFACTURERS,H:\pharact\,3000,100,Normal,True,4,,133,SPHEADGM51B,APIs; ingredientes farmacéuticos activos; principios activos farmacéuticos; química fina; farmacia; salud; medicina; medicamentos; farmacia; industria farmacéutica,Fabricación de principios activos farmacéuticos,de la fabricación de principios activos farmacéuticos,,,Aero,Acco,,,,,,,,,,06/02/2015 00:00:00,Las empresas analizadas en el informe se dedican a la fabricación de química fina para la industria farmacéutica; o principios activos farmacéuticos (APIs).,The companies analysed in the report are manufacturers of fine chemicals for the pharmaceutical industry; or active pharmaceutical ingredients (APIs).,Fabricantes de química fina para la industria farmacéutica; o principios activos farmacéuticos (APIs). Los APIs; o Principios Activos Farmacéuticos; son los elementos fundamentales detrás de la efectividad de los medicamentos. Son las sustancias responsables de ejercer la acción terapéutica en el organismo. Su producción se consigue a partir de procesos industriales de tecnología avanzada; tanto en su etapa de investigación y desarrollo como en su producción comercial. Excluye fabricantes de formas farmacéuticas terminadas (FDFs).,Manufacturers of fine chemicals for the pharmaceutical industry; or active pharmaceutical ingredients (APIs). APIs; or Active Pharmaceutical Ingredients; are the fundamental elements behind the effectiveness of medications. They are the substances responsible for exerting therapeutic action in the body. Their production is achieved from advanced technology industrial processes; both in their research and development stage and in their commercial production. The report excludes manufacturers of final dosage forms (FDFs).,6186,14133,14134,915,5318,4346,10479,9599,13728,,,,,,,,,,,,,,,,
18084,SPACTU,ACTUARIOS,ACTUARIES,H:\spactu\,100,100,Normal,True,4,,,SPFINSEM1A,Actuarios,Actuarios,de los actuarios,,,Fina,Insu,,,,,,,,,,20/03/2017 00:00:00,,,Empresas de actuarios,,,,,1461,6113,,,,,,,,,,,,,,,,,,,,
5915,SPMT54,ACTUADORES Y VÁLVULAS,ACTUATORS & VALVES,H:\fabvalv\,3000,25,Normal,True,4,,133,SPMETSPM1A,válvulas; válvulas; actuadores; actuador; válvulas de bola; válvulas de mariposa; hidráulica; neumática; actuadores eléctricos; actuadores hidráulicos; actuadores neumáticos; cilindro; cilindro eléctrico; cilindro neumático,Actuadores y válvulas,de la fabricación y distribución de válvulas,,,Aero,Acco,,,,,,,,,,08/04/2016 10:48:06,Las empresas analizadas en el informe son fabricantes y distribuidores de actuadores y válvulas.,The companies analysed in the report are manufacturers and distributors of actuators and valves.,Empresas fabricantes y distribuidores de actuadores (eléctricos; neumáticos e hidráulicos) y válvulas.,Manufacturers and distributors of actuators (hydraulic; pneumatic and electrical) and valves.,10200,6204,6248,1139,10397,18322,9516,14806,10334,16785,9520,10130,13721,18275,5168,10335,23381,22207,29136,,,,,,
6429,SPCL31,FABRICANTES Y DISTRIBUIDORES DE VÁLVULAS (Portugal),ACTUATORS & VALVES  (Portugal),H:\SPCL31\,3000,25,Normal,True,4,,133,,,Fabricantes y distribuidores de válvulas  (Portugal),de fabricantes y distribuidores de válvulas  (Portugal),,,Meta,Supp,,,,,,,,,,27/01/2017 09:06:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24023,SPADVH,ADAPTACIÓN DE VEHÍCULOS PARA PERSONAS CON MOVILIDAD REDUCIDA,ADAPTATION OF VEHICLES FOR DISABLED DRIVERS,H:\adaptveh\,100,25,Normal,True,4,,,SPAUTPDM53A,adaptación de vehículos; adaptación de coches; vehículos para personas con movilidad reducida; discapacidad; movilidad reducida; rampa; mandos adaptados; volante adaptado; accesibilidad,Adaptación de vehículos para personas con movilidad reducida,de la adaptación de vehículos,,,Aero,Acco,,,,,,,,,,19/06/2020 00:00:00,Compañías dedicadas a la adaptación de vehículos para personas con movilidad reducida.,Companies converting vehicles for disabled drivers.,Las compañías anallizadas en el informe adaptan vehículos para personas con movilidad reducida y/o fabrican componentes para la conducción de personas con discapacidad.,The companies analised in the report convert vehicles for the use of disabled people; and/or manufacture components for disabled drivers.,23636,13973,,5542,14570,16895,4997,5422,24023,9857,14571,5508,18385,4154,571,16565,19816,23469,885,,,,,,
