ReportId,RepCode,Name - Native,Name - English,Dir,PPA_Cutoff,Top_Cutoff,Type,Restrictions?,Region,SubRegionID,Country,NewCode,Keywords,Name_Native_Letter,Name_Native_Companies,Name_Native_Industry,Name_Native_Descriptive,Sect_Primary,Sect_Secondary,UK_Assoc1 to 20,PW_Assoc1 to 20,FR_Assoc1 to 20,IT_Assoc1 to 20,SP_Assoc1 to 20,NO_Assoc1 to 20,GE_Assoc1 to 20,RU_Assoc1 to 20,MultiCountry,Date_Last_Edited,Marketing_Description_Native,Marketing_Description_English,Report_Definition_Native,Report_Definition_English,Top3_1,Top3_2,Top3_3,Top20_1,Top20_2,Top20_3,Top20_4,Top20_5,Top20_6,Top20_7,Top20_8,Top20_9,Top20_10,Top20_11,Top20_12,Top20_13,Top20_14,Top20_15,Top20_16,Top20_17,Top20_18,Top20_19,Top20_20,AT_Assoc1 to 20
23924,3DP1,,3D Printing,E:\3DP1\,200,50,Normal,True,1,,,UKPRIPPM62A,3d;print;model;prototype;additive;design,UK,3D Printing companies,,,Prin,Prin,,,,,,,,,,30/04/2020 11:07:00,,companies providing 3D printing and design services,,3D printing; or additive manufacturing; is the construction of a three-dimensional object from a CAD model or a digital 3D model.[1] The term &quot;3D printing&quot; can refer to a variety of processes in which material is deposited; joined or solidified under computer control to create a three-dimensional object;[2] with material being added together (such as liquid molecules or powder grains being fused together); typically layer by layer.,,,,,,,,,,,,,,,,,,,,,,,,,
18381,TI98,,4X4 Dealers,E:\4X4\,1000,50,Normal,True,1,8,1,UKAUTDLN30I,dealership;cars;4x4;garage;motor dealer;dealers;four wheel drive;4wd,UK,4X4 Dealers,,,Moto,Deal,,,,,,,,,,21/12/2017 09:42:29,,companies retailing and dealing in four wheel drive motor vehicles,,Four-wheel drive; also called 4&#215;4 (&quot;four by four&quot;) or 4WD refers to type of a vehicle; specifically one with its drivetrain capable of providing torque to all wheel ends of a two-axled vehicle simultaneously.,,,,,,,,,,,,,,,,,,,,,,,,,
650,FI03,,Abattoirs,E:\Abattoir\,1000,40,Normal,True,1,8,,UKFOOMEM1A,abattoir;meat;transport;joomla;food waste;recycling;uk;lamb;slaughterhouse;farm;knackery;cattle;knackers yard,UK,Abattoir companies,,,Food,Meat,,,,,,,,,,02/09/2020 13:55:54,,companies operating abattoirs,,A slaughterhouse; abattoir or meatworks is a facility where animals are killed for consumption as food. Slaughterhouses that process meat not intended for human consumption are sometimes referred to as knacker's yards or knackeries; used for animals that are not fit for consumption or can no longer work on a farm such as horses that can no longer work.,704,702,22000,10427,4278,19865,22006,22620,710,,,,,,,,,,,,,,,,
1372,SD67,,Abnormal Load Haulage,E:\Abhaul\,1000,50,Normal,True,1,8,1,UKTRARRN35B,haulage;transport;uk;storage;warehousing;lorry;distribution;abnormal loads;transportation;logistics,UK,Abnormal Load Haulage companies,,,Tran,Road,SD69;SD70,TRAN,,,,,,,,23/11/2016 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,CI01,,Abrasive Products,E:\Abrasiv\,1000,40,Normal,True,1,8,1,UKCHECHM1A,abrasives;polishing;foam abrasives;grinding wheels;sanding pads;coated abrasives;sanding discs;abrasive rolls;diamond paste;surface;tools;,UK,Abrasive Products,,,Engi,Chem,,,,,,,,,,07/12/2017 00:00:00,,companies manufacturing and supplying Abrasives,,An abrasive is a material; often a mineral; that is used to shape or finish a workpiece through rubbing which leads to part of the workpiece being worn away. While finishing a material often means polishing it to gain a smooth; reflective surface; the process can also involve roughening as in satin; matte or beaded finishes.,456,511,1413,1415,512,514,486,458,246,4793,3968,5912,9355,13576,217,390,,,,,,,,,
16522,SC11,,Academies,E:\Academy\,1400,100,Normal,True,1,8,1,UKSEREDM43A,,UK,Academies & Academy Trusts,,,Educ,Scho,,,,,,,,,,01/03/2023 10:54:48,,academies providing education to children,,Academies receive funding directly from the government and are run by an academy trust. They have more control over how they do things than community schools. Academies do not charge fees.,,,,,,,,,,,,,,,,,,,,,,,,,
1398,SV01,,Access Control Systems,E:\Access\,1000,50,Normal,True,1,8,1,UKSERSYN45B,access control;cctv;security;security systems;door entry;access;turnstiles;services;access control systems;door entry systems,UK,Access Control companies,,,Secu,Equi,,,,,,,,,,06/12/2021 17:05:51,,companies producing; supplying and installing access control systems,,Access control systems perform authorization identification; authentication; access approval; and accountability of entities through login credentials including passwords; personal identification numbers (PINs); biometric scans; and physical or electronic keys,536,1452,585,18295,531,566,1447,1446,4794,13972,14212,184,190,1441,,,,,,,,,,,
187,CS01,,Access Equipment,E:\Acceseq\,400,50,Normal,True,1,8,1,UKCONPSM27A,access platforms;access;scissor lifts;powered access;platforms;construction;access platform;rental;temporary,UK,Access Equipment companies,,,Buil,Plan,,,,,,,,,,18/06/2024 16:32:38,,companies manufacturing; supplying and hiring access equipment and work platforms,,An aerial work platform (AWP); also known as an aerial device; elevating work platform (EWP); or mobile elevating work platform (MEWP) is a mechanical device used to provide temporary access for people or equipment to inaccessible areas; usually at height. There are distinct types of mechanized access platforms and the individual types may also be known as a quot;cherry pickerquot; or a quot;scissor liftquot;.,1215,19544,14981,226,244,1569,5206,16374,14758,11239,9643,9360,199,211,237,345,481,,,,,,,,
1462,SV68,,Accident Management,E:\Comclaim\,1000,35,Normal,True,1,8,1,UKAUTSEM1A,insurance;personal injury;claim;accident;claims;accident management;compensation claims;services;reinsurance;accident repair;vehicle recovery;breakdown,UK,Accident Management companies,,,Fina,Insu,,,,,,,,,,16/11/2021 10:00:26,,companies managing every aspect of a motor incident and providing 24 hour helpline,,Accident management is the centralized handling of a motorist’s claim following a road traffic collision or other damages or mishaps that happen to a vehicle while on or off road. It is a cost-effective intermediary service which assists drivers in getting back on the road quickly and in managing the claims process alone.[1] Whilst it is significantly more cost-effective for the innocent motorist; the service costs significantly more as a result - a cost borne by the insurer of the 'at-fault' driver.,18001,1531,14978,1546,1527,1164,1564,1156,14701,1191,762,1470,4904,6282,14778,,,,,,,,,,
1546,TI45,,Accident Repair Centres,E:\Motorepa\,1000,30,Normal,True,1,8,1,UKAUTSEM2A,accident;repair;bodyshop;accident repair;cars;vehicle;vehicles;bodyshops;auto;car repair;bodywork;refinish;panel beater,UK,Accident Repair Centres,,,Moto,Serv,,,,,,,,,,03/12/2020 10:28:41,,companies providing motor repair and operating accident repair body shops,,An automobile repair shop (also known as a garage) is a repair shop where automobiles are repaired by auto mechanics and technicians.,1462,1527,1164,1537,1531,1564,1156,18001,4834,4835,6282,14778,10034,745,762,1470,766,,,,,,,,
